,WIDHT.OF.THE.PILEUS,WIDHT.OF.THE.STIPE,THICKNESS.OF.THE.STIPE,HEIGHT.OF.THE.SPORES,WIDHT.OF.THE.SPORES,label
15,"[6.0, 21.0]","[4.0, 14.0]","[1.0, 3.5]","[6.5, 9.0]","[4.5, 6.0]",Agaricus
16,"[6.0, 32.0]","[10.0, 37.0]","[6.0, 6.0]","[7.5, 10.5]","[5.0, 6.5]",Agaricus
17,"[4.0, 8.0]","[1.0, 5.0]","[1.0, 2.0]","[5.0, 6.0]","[3.0, 4.0]",Agaricus
18,"[7.0, 16.0]","[4.0, 7.0]","[3.0, 4.5]","[5.5, 7.0]","[5.5, 6.5]",Agaricus
19,"[5.0, 12.0]","[2.5, 2.5]","[1.5, 2.5]","[6.0, 8.5]","[4.5, 6.0]",Agaricus
20,"[5.0, 15.0]","[4.0, 10.0]","[2.0, 4.0]","[5.0, 6.5]","[4.0, 5.5]",Agaricus
21,"[4.0, 11.0]","[3.0, 7.0]","[0.4, 1.0]","[5.0, 7.5]","[4.5, 5.0]",Agaricus
22,"[5.0, 10.0]","[3.0, 6.0]","[1.0, 2.0]","[5.5, 8.0]","[3.5, 5.0]",Agaricus
23,"[2.5, 4.0]","[3.0, 5.0]","[0.4, 0.7]","[4.0, 5.0]","[3.5, 5.0]",Agaricus
24,"[2.5, 6.0]","[1.5, 3.5]","[1.0, 1.5]","[7.0, 8.0]","[5.0, 6.0]",Agaricus
25,"[4.0, 15.0]","[4.0, 15.0]","[1.5, 2.5]","[5.0, 6.5]","[3.5, 4.0]",Agaricus
26,"[3.5, 8.0]","[4.0, 10.0]","[1.0, 2.0]","[7.0, 8.0]","[5.0, 6.0]",Agaricus
27,"[7.0, 14.0]","[8.0, 14.0]","[1.5, 2.5]","[4.0, 6.0]","[3.0, 4.5]",Agaricus
28,"[4.0, 12.0]","[5.0, 15.0]","[1.0, 2.0]","[8.0, 12.0]","[6.0, 8.0]",Amanita
29,"[8.0, 25.0]","[10.0, 20.0]","[1.5, 4.0]","[8.0, 11.0]","[5.0, 6.0]",Amanita
30,"[8.0, 20.0]","[9.0, 19.0]","[3.0, 5.0]","[5.0, 6.5]","[4.0, 5.0]",Agaricus
31,"[2.5, 4.0]","[2.5, 4.5]","[4.0, 7.0]","[4.5, 5.0]","[3.0, 3.5]",Agaricus
32,"[5.0, 15.0]","[6.0, 15.0]","[2.5, 3.5]","[7.0, 9.0]","[6.0, 6.5]",Agaricus
33,"[8.0, 12.0]","[6.0, 12.0]","[1.5, 2.0]","[6.5, 8.0]","[4.5, 5.0]",Agaricus
34,"[7.0, 19.0]","[8.0, 15.0]","[2.0, 3.5]","[4.0, 6.0]","[3.5, 4.5]",Agaricus
35,"[2.0, 6.0]","[3.0, 7.0]","[0.4, 0.8]","[4.5, 5.5]","[3.0, 3.5]",Agaricus
36,"[6.0, 12.0]","[6.0, 12.0]","[1.5, 2.0]","[5.5, 6.5]","[3.5, 4.0]",Agaricus
37,"[7.0, 12.0]","[5.0, 12.0]","[2.0, 3.0]","[7.0, 9.0]","[5.0, 5.5]",Agaricus
38,"[6.0, 14.0]","[6.0, 16.0]","[1.0, 2.0]","[4.0, 6.0]","[3.5, 4.5]",Agaricus
39,"[5.0, 17.0]","[4.0, 14.0]","[1.0, 3.5]","[5.0, 6.0]","[4.0, 5.5]",Agaricus
40,"[4.0, 10.0]","[4.0, 7.0]","[1.5, 3.0]","[11.0, 14.0]","[5.0, 6.5]",Boletus
41,"[7.0, 14.0]","[5.0, 9.0]","[3.0, 6.0]","[11.5, 13.5]","[3.5, 4.5]",Boletus
42,"[4.0, 7.0]","[5.0, 10.0]","[1.0, 1.5]","[11.5, 14.0]","[4.0, 6.0]",Boletus
43,"[4.0, 8.0]","[4.0, 7.0]","[1.0, 3.0]","[12.0, 13.5]","[3.75, 4.5]",Boletus
44,"[4.0, 12.0]","[4.0, 8.0]","[1.0, 2.5]","[11.5, 16.0]","[5.0, 6.5]",Boletus
45,"[7.0, 25.0]","[7.0, 20.0]","[3.0, 8.0]","[12.0, 17.0]","[4.0, 6.0]",Boletus
46,"[6.0, 11.0]","[6.0, 12.0]","[1.0, 2.0]","[12.0, 15.0]","[5.0, 6.0]",Boletus
47,"[8.0, 15.0]","[5.0, 9.0]","[2.5, 4.5]","[5.5, 6.5]","[3.5, 4.0]",Boletus
48,"[7.0, 14.0]","[7.0, 13.0]","[3.0, 4.0]","[11.5, 13.5]","[3.5, 4.5]",Boletus
49,"[9.0, 18.0]","[5.0, 10.0]","[2.0, 6.0]","[12.5, 18.0]","[4.0, 5.0]",Boletus
50,"[6.0, 16.0]","[6.0, 15.0]","[3.0, 5.0]","[12.0, 16.5]","[4.5, 5.5]",Boletus
51,"[7.0, 15.0]","[7.0, 15.0]","[3.5, 7.0]","[13.5, 16.0]","[4.5, 5.5]",Boletus
52,"[4.0, 12.0]","[4.0, 8.0]","[1.0, 2.0]","[10.0, 15.0]","[4.0, 5.0]",Boletus
53,"[5.0, 10.0]","[5.0, 10.0]","[1.5, 2.5]","[12.0, 15.0]","[4.5, 6.0]",Boletus
54,"[4.0, 11.0]","[5.0, 10.0]","[1.0, 3.0]","[11.0, 15.0]","[4.0, 6.0]",Boletus
