,IF1,IF2,IF3,IF4,IF5,IF6,IF7,IF8,IF9,IF10,IF11,IF12,IF13,IF14,IF15,IF16,IF18,IF19,IF20,IF21,IF22,IF23,IF24,IF25,IF26,IF27,IF28,IF29,IF30,IF31,IF32,IF33,IF34,IF35,IF36,IF37,IF38,IF39,IF40,IF41,IF42,IF43,IF44,IF45,IF46,IF47,IF48,label
10,"[1.67, 2.0]","[1.17, 1.83]","[0.33, 1.0]","[1.17, 1.83]","[1.33, 1.83]","[0.33, 0.5]","[0.17, 0.33]","[0.33, 0.33]","[0.5, 0.83]","[0.67, 0.83]","[0.67, 1.0]","[0.83, 1.0]","[0.83, 1.67]","[1.0, 2.33]","[3.17, 4.17]","[4.0, 7.83]","[5.33, 7.83]","[4.17, 8.67]","[6.0, 9.67]","[7.5, 7.67]","[5.33, 9.0]","[7.17, 9.67]","[7.83, 9.5]","[6.33, 9.33]","[4.5, 6.83]","[3.33, 5.5]","[3.5, 4.83]","[4.17, 5.33]","[4.17, 8.17]","[6.67, 8.67]","[4.67, 8.67]","[4.17, 8.67]","[4.17, 5.5]","[6.17, 9.33]","[4.67, 7.33]","[5.0, 10.33]","[4.67, 6.33]","[4.17, 5.33]","[4.0, 4.33]","[5.17, 5.5]","[3.0, 3.17]","[2.83, 3.83]","[1.67, 2.0]","[1.67, 1.83]","[0.5, 1.0]","[0.5, 1.17]","[0.5, 0.67]",2
11,"[0.5, 1.0]","[0.83, 1.33]","[0.83, 1.5]","[0.67, 0.83]","[0.67, 1.0]","[0.67, 0.83]","[0.67, 1.0]","[0.67, 0.83]","[1.0, 1.33]","[1.17, 1.67]","[1.67, 2.0]","[1.67, 2.17]","[1.67, 2.17]","[2.17, 2.5]","[5.5, 9.0]","[5.67, 8.5]","[5.0, 7.67]","[4.5, 7.17]","[5.33, 10.0]","[6.17, 9.5]","[6.17, 9.5]","[7.33, 10.83]","[6.83, 9.5]","[7.67, 9.33]","[6.83, 9.17]","[4.17, 6.67]","[6.0, 7.67]","[7.17, 8.5]","[6.5, 10.17]","[6.17, 10.83]","[5.5, 7.5]","[6.83, 8.67]","[4.67, 4.83]","[3.67, 10.5]","[5.17, 9.0]","[6.83, 11.5]","[9.17, 10.17]","[7.33, 10.0]","[4.5, 5.83]","[3.5, 5.83]","[3.67, 4.0]","[1.67, 3.17]","[2.5, 2.83]","[2.5, 2.83]","[1.5, 1.67]","[1.5, 1.5]","[1.33, 2.17]",2
12,"[2.0, 2.67]","[1.67, 2.83]","[1.0, 1.67]","[1.67, 1.83]","[1.83, 2.17]","[0.83, 1.0]","[1.0, 1.17]","[1.0, 1.0]","[1.33, 1.67]","[1.33, 2.0]","[1.83, 2.0]","[2.0, 2.17]","[1.83, 2.33]","[2.5, 3.33]","[3.0, 8.0]","[5.5, 9.67]","[5.17, 9.83]","[5.17, 9.0]","[5.33, 9.67]","[6.17, 8.67]","[5.33, 10.33]","[6.67, 10.0]","[7.17, 10.67]","[7.83, 11.5]","[8.17, 12.0]","[5.17, 8.33]","[5.33, 7.83]","[7.17, 8.0]","[4.67, 7.33]","[6.67, 7.5]","[4.0, 4.5]","[6.0, 8.17]","[5.33, 7.17]","[5.33, 7.17]","[8.17, 9.83]","[7.33, 10.33]","[10.17, 11.67]","[3.17, 4.83]","[4.67, 6.67]","[3.17, 4.0]","[2.17, 4.0]","[1.5, 2.5]","[2.17, 3.0]","[1.67, 2.17]","[0.5, 1.0]","[0.5, 1.0]","[0.33, 1.5]",2
13,"[1.5, 2.0]","[1.0, 1.83]","[0.33, 1.33]","[1.0, 1.5]","[1.17, 1.33]","[0.17, 0.5]","[0.17, 0.67]","[0.17, 0.33]","[0.5, 0.83]","[0.67, 1.5]","[1.17, 1.83]","[1.5, 1.83]","[1.5, 2.17]","[1.83, 3.17]","[3.83, 4.83]","[3.17, 5.33]","[6.33, 8.0]","[6.33, 11.83]","[4.83, 8.5]","[4.17, 7.67]","[5.83, 8.83]","[5.5, 8.5]","[5.17, 10.0]","[9.5, 10.33]","[6.67, 9.67]","[11.17, 14.67]","[12.17, 12.83]","[9.5, 12.83]","[10.33, 11.33]","[10.83, 14.17]","[10.83, 13.5]","[9.17, 13.0]","[8.5, 11.33]","[10.17, 12.0]","[4.33, 10.33]","[6.83, 8.5]","[8.83, 9.0]","[5.33, 9.67]","[3.0, 5.83]","[3.67, 8.17]","[2.5, 3.0]","[1.67, 2.33]","[2.33, 2.83]","[2.17, 3.17]","[1.0, 1.67]","[1.33, 1.83]","[1.67, 2.17]",2
14,"[1.83, 3.0]","[1.33, 2.33]","[0.5, 1.17]","[1.33, 1.5]","[1.33, 1.5]","[0.67, 0.67]","[0.67, 1.0]","[0.5, 0.83]","[0.67, 1.0]","[1.17, 1.67]","[1.5, 2.0]","[1.5, 1.83]","[1.67, 2.33]","[2.5, 3.0]","[2.0, 6.33]","[6.83, 11.0]","[4.83, 7.5]","[4.0, 7.67]","[5.5, 10.33]","[10.0, 13.83]","[9.17, 13.0]","[9.83, 12.33]","[6.33, 11.67]","[6.0, 7.83]","[4.5, 8.83]","[3.67, 5.5]","[4.0, 5.0]","[8.5, 11.33]","[6.17, 7.67]","[4.0, 12.0]","[9.0, 11.83]","[7.83, 11.83]","[8.0, 10.5]","[8.0, 9.67]","[8.33, 8.83]","[8.17, 12.17]","[7.67, 9.5]","[7.33, 8.33]","[7.17, 9.0]","[7.17, 7.83]","[7.0, 7.67]","[1.83, 3.17]","[2.67, 3.67]","[2.17, 2.33]","[1.17, 1.5]","[1.17, 1.33]","[1.17, 2.5]",1
15,"[2.0, 2.5]","[1.83, 2.83]","[1.33, 2.0]","[1.67, 2.0]","[1.83, 2.0]","[1.0, 1.17]","[1.0, 1.17]","[1.0, 1.33]","[1.33, 1.67]","[1.67, 2.17]","[2.17, 2.5]","[2.0, 2.17]","[1.83, 2.33]","[1.5, 2.0]","[3.33, 7.17]","[1.5, 5.5]","[3.83, 8.17]","[3.83, 6.17]","[4.17, 8.33]","[5.17, 8.83]","[5.5, 8.5]","[8.67, 9.0]","[3.17, 7.17]","[3.17, 3.5]","[2.67, 3.5]","[2.5, 3.33]","[4.17, 5.0]","[5.0, 7.67]","[4.67, 6.33]","[0.67, 1.17]","[0.67, 1.0]","[0.5, 0.83]","[0.5, 1.0]","[0.5, 0.83]","[0.5, 0.83]","[0.67, 1.33]","[1.0, 1.0]","[0.67, 0.83]","[0.67, 2.0]","[2.0, 2.17]","[2.0, 2.5]","[1.17, 2.17]","[1.67, 1.83]","[1.5, 1.83]","[0.33, 1.17]","[0.5, 1.0]","[0.5, 1.67]",1
16,"[1.67, 1.83]","[1.0, 2.33]","[0.33, 0.83]","[1.0, 1.17]","[1.17, 1.33]","[0.17, 0.33]","[0.17, 0.33]","[0.17, 0.33]","[0.5, 0.67]","[0.67, 1.17]","[1.33, 1.5]","[1.17, 1.33]","[1.0, 1.17]","[0.5, 1.0]","[0.33, 1.0]","[0.83, 1.17]","[1.33, 1.5]","[1.17, 1.33]","[1.17, 1.33]","[0.83, 1.33]","[1.0, 1.17]","[1.0, 1.33]","[1.17, 1.5]","[1.0, 1.33]","[0.67, 1.33]","[1.17, 1.83]","[1.0, 1.17]","[1.0, 1.17]","[0.67, 0.83]","[0.83, 1.17]","[0.83, 1.0]","[0.5, 0.67]","[0.5, 0.83]","[0.33, 0.67]","[0.33, 0.83]","[0.83, 1.33]","[0.83, 1.0]","[1.17, 1.5]","[1.17, 1.33]","[1.33, 1.67]","[2.0, 2.83]","[1.17, 1.5]","[0.83, 1.17]","[0.5, 1.17]","[1.33, 1.5]","[1.33, 1.67]","[1.0, 1.33]",2
17,"[0.83, 1.5]","[1.5, 1.83]","[1.17, 1.5]","[0.33, 0.67]","[0.33, 0.33]","[0.33, 0.5]","[0.33, 0.5]","[0.33, 0.67]","[0.67, 1.17]","[1.0, 1.5]","[1.67, 1.67]","[1.67, 2.0]","[1.67, 2.0]","[1.83, 2.0]","[2.17, 5.0]","[5.5, 8.5]","[8.83, 12.17]","[11.33, 11.83]","[9.0, 13.83]","[9.33, 14.0]","[10.5, 14.33]","[10.5, 15.5]","[11.17, 13.67]","[11.17, 13.5]","[8.33, 12.67]","[6.33, 9.33]","[6.33, 9.5]","[8.17, 10.17]","[4.17, 5.83]","[4.67, 5.33]","[6.67, 9.0]","[6.33, 9.17]","[7.17, 12.17]","[9.0, 9.67]","[6.0, 8.17]","[8.33, 11.0]","[12.67, 13.5]","[10.33, 11.5]","[9.33, 12.33]","[6.83, 10.33]","[6.67, 9.83]","[6.0, 6.0]","[5.67, 5.83]","[5.17, 7.83]","[5.0, 6.0]","[6.0, 6.17]","[1.5, 4.67]",2
18,"[1.33, 1.5]","[1.33, 1.83]","[0.83, 1.5]","[0.83, 1.0]","[1.0, 1.17]","[1.17, 1.5]","[1.17, 1.17]","[0.83, 1.17]","[1.0, 1.5]","[1.5, 1.83]","[1.83, 2.17]","[1.83, 2.5]","[2.0, 2.33]","[2.0, 2.33]","[3.17, 13.0]","[8.33, 11.83]","[9.17, 10.83]","[10.67, 12.5]","[7.83, 11.67]","[5.0, 9.83]","[5.67, 9.83]","[5.33, 9.67]","[8.17, 9.83]","[6.5, 9.33]","[6.67, 10.33]","[7.0, 10.83]","[8.83, 10.5]","[8.5, 13.17]","[9.83, 10.33]","[7.17, 8.0]","[4.17, 8.83]","[4.17, 5.33]","[5.17, 6.0]","[3.33, 8.17]","[8.67, 9.17]","[7.67, 9.0]","[5.5, 8.83]","[4.67, 7.83]","[1.5, 2.67]","[2.17, 3.5]","[1.67, 2.0]","[1.33, 1.67]","[0.67, 1.5]","[0.67, 1.0]","[0.5, 0.67]","[0.83, 1.17]","[0.5, 0.67]",1
19,"[0.67, 1.33]","[0.33, 1.0]","[0.33, 0.5]","[0.33, 0.5]","[0.33, 0.67]","[0.33, 0.5]","[0.5, 0.5]","[0.5, 0.67]","[0.5, 1.0]","[0.83, 1.67]","[1.5, 1.83]","[1.67, 1.83]","[2.0, 2.17]","[1.0, 1.67]","[0.83, 1.33]","[1.0, 1.67]","[1.67, 2.17]","[1.5, 1.83]","[1.33, 1.5]","[1.33, 1.67]","[1.5, 2.17]","[1.5, 2.0]","[2.17, 2.33]","[2.0, 2.33]","[1.67, 2.0]","[1.83, 2.83]","[1.83, 2.67]","[1.17, 2.67]","[1.0, 1.5]","[0.5, 0.83]","[0.5, 0.83]","[0.67, 1.33]","[0.67, 1.33]","[0.5, 0.83]","[0.33, 0.5]","[0.67, 1.17]","[1.0, 1.5]","[0.83, 1.0]","[1.33, 1.67]","[1.0, 1.5]","[1.33, 1.33]","[1.17, 1.33]","[1.0, 1.17]","[0.67, 1.17]","[0.33, 0.5]","[0.5, 0.67]","[0.5, 0.5]",1
20,"[0.5, 1.0]","[0.33, 1.0]","[0.33, 0.33]","[0.17, 0.33]","[0.33, 0.33]","[0.17, 0.33]","[0.17, 0.5]","[0.33, 0.5]","[0.5, 0.83]","[0.67, 1.5]","[1.33, 1.5]","[1.33, 1.33]","[1.0, 1.33]","[0.5, 1.17]","[0.5, 1.0]","[0.5, 0.67]","[1.17, 1.33]","[0.83, 1.17]","[0.83, 1.5]","[1.33, 1.5]","[1.5, 1.67]","[1.33, 1.67]","[0.83, 1.67]","[1.17, 1.67]","[1.33, 1.67]","[1.33, 2.0]","[1.5, 1.67]","[1.17, 1.33]","[0.83, 1.0]","[0.83, 0.83]","[0.83, 1.17]","[0.83, 1.33]","[0.5, 0.83]","[0.67, 0.83]","[0.5, 1.0]","[1.0, 1.5]","[1.33, 1.5]","[0.83, 1.5]","[0.83, 1.0]","[0.83, 1.33]","[0.67, 1.5]","[1.5, 2.33]","[1.33, 2.0]","[1.0, 1.33]","[0.33, 0.83]","[0.67, 1.17]","[0.17, 0.5]",2
21,"[0.5, 1.0]","[0.33, 1.0]","[0.17, 0.33]","[0.17, 0.33]","[0.17, 0.33]","[0.17, 0.33]","[0.17, 0.33]","[0.17, 0.33]","[0.33, 0.83]","[0.67, 0.67]","[0.67, 1.0]","[0.67, 0.67]","[0.83, 1.5]","[1.33, 2.83]","[1.33, 4.67]","[1.33, 3.83]","[3.83, 9.0]","[3.67, 6.17]","[2.33, 2.83]","[2.83, 3.17]","[2.0, 5.33]","[2.67, 4.5]","[1.83, 3.83]","[2.0, 2.33]","[2.0, 2.5]","[1.83, 2.67]","[2.5, 2.83]","[2.33, 7.0]","[1.83, 6.67]","[1.83, 2.33]","[1.67, 4.17]","[1.33, 6.33]","[2.17, 4.5]","[2.67, 3.33]","[2.67, 4.0]","[5.33, 6.17]","[2.0, 7.5]","[3.5, 4.5]","[1.67, 4.5]","[2.0, 2.83]","[2.0, 2.83]","[2.0, 2.17]","[2.17, 2.5]","[1.83, 2.17]","[1.5, 2.0]","[1.5, 2.17]","[1.83, 2.0]",2
22,"[1.17, 1.67]","[1.17, 1.67]","[1.83, 2.0]","[1.67, 1.83]","[0.67, 1.67]","[1.5, 1.83]","[1.33, 1.83]","[1.0, 1.17]","[1.33, 1.67]","[1.0, 1.67]","[1.83, 2.0]","[1.83, 1.83]","[1.5, 2.0]","[1.5, 2.33]","[2.0, 2.83]","[3.17, 6.67]","[2.5, 3.5]","[5.33, 5.67]","[3.33, 6.33]","[2.0, 5.33]","[2.83, 7.5]","[3.83, 6.67]","[3.17, 5.33]","[3.33, 6.67]","[4.5, 6.0]","[2.5, 3.0]","[2.67, 3.83]","[2.17, 5.0]","[4.17, 6.67]","[3.83, 6.83]","[3.33, 7.33]","[7.83, 8.17]","[3.33, 4.17]","[4.17, 8.5]","[2.5, 8.33]","[3.0, 4.5]","[2.33, 4.33]","[1.67, 7.33]","[1.67, 2.0]","[1.67, 3.33]","[1.67, 2.0]","[2.0, 2.33]","[0.83, 2.0]","[0.5, 0.67]","[0.5, 0.67]","[0.5, 0.67]","[0.33, 0.5]",2
23,"[0.33, 1.0]","[0.67, 1.0]","[0.33, 0.5]","[0.33, 0.5]","[0.33, 0.5]","[0.33, 0.5]","[0.33, 0.5]","[0.33, 0.5]","[0.5, 0.83]","[0.83, 1.5]","[1.33, 1.67]","[1.5, 1.83]","[1.17, 1.5]","[1.33, 1.5]","[1.33, 3.5]","[3.0, 4.0]","[5.5, 9.5]","[5.83, 10.17]","[4.0, 5.83]","[3.5, 4.5]","[3.67, 8.0]","[5.5, 7.67]","[4.0, 7.67]","[3.17, 7.17]","[3.83, 4.0]","[2.5, 7.33]","[2.83, 3.67]","[3.5, 4.5]","[4.67, 8.67]","[3.67, 6.5]","[4.67, 5.17]","[3.17, 6.33]","[3.17, 4.5]","[1.67, 5.33]","[1.83, 3.17]","[2.0, 5.5]","[2.33, 5.17]","[2.5, 6.67]","[3.83, 5.67]","[3.17, 3.5]","[1.83, 2.0]","[1.83, 2.17]","[1.0, 2.0]","[0.67, 0.83]","[0.33, 0.67]","[0.5, 0.67]","[0.5, 0.67]",2
24,"[0.5, 1.17]","[0.33, 1.17]","[0.33, 0.5]","[0.33, 0.5]","[0.33, 0.5]","[0.33, 0.33]","[0.33, 0.5]","[0.33, 0.5]","[0.5, 1.0]","[0.83, 1.33]","[1.5, 1.67]","[1.33, 1.67]","[1.5, 1.67]","[0.83, 1.5]","[1.17, 2.83]","[2.33, 6.17]","[5.67, 7.67]","[4.17, 7.5]","[3.33, 7.5]","[3.17, 7.5]","[3.67, 6.83]","[4.83, 7.5]","[3.17, 8.5]","[3.17, 6.83]","[2.5, 6.33]","[2.83, 4.67]","[3.33, 5.83]","[4.0, 9.0]","[3.67, 5.83]","[5.83, 12.67]","[7.0, 10.67]","[5.5, 13.33]","[3.83, 7.67]","[1.83, 5.0]","[3.83, 5.5]","[3.5, 6.67]","[4.5, 5.67]","[3.33, 4.5]","[1.67, 2.17]","[1.83, 3.5]","[1.33, 2.0]","[1.67, 2.33]","[1.5, 2.83]","[1.0, 1.0]","[0.67, 0.83]","[0.67, 0.83]","[0.67, 0.83]",2
25,"[0.67, 1.33]","[0.5, 1.17]","[0.5, 0.83]","[0.5, 0.5]","[0.33, 0.67]","[0.5, 0.5]","[0.5, 0.67]","[0.5, 0.67]","[0.83, 1.0]","[1.0, 1.67]","[1.5, 1.83]","[1.5, 2.0]","[1.33, 1.67]","[1.33, 1.5]","[1.33, 4.0]","[2.33, 8.17]","[4.5, 9.5]","[2.0, 6.17]","[2.0, 6.33]","[4.83, 7.83]","[3.67, 6.83]","[2.33, 6.5]","[4.33, 8.0]","[4.17, 9.5]","[5.67, 7.33]","[6.5, 8.5]","[6.5, 7.83]","[2.33, 3.17]","[1.5, 4.83]","[2.33, 4.17]","[1.5, 5.0]","[4.67, 9.0]","[6.83, 8.0]","[3.0, 8.17]","[2.0, 3.5]","[2.0, 3.67]","[2.0, 2.17]","[1.5, 2.67]","[0.83, 1.5]","[1.67, 2.83]","[0.83, 1.67]","[1.0, 1.33]","[0.83, 1.5]","[0.83, 1.67]","[0.67, 0.83]","[0.67, 1.5]","[0.33, 0.67]",1
