,1,2,3,4,5,6,7,8,9,label
17,"[355.5, 362.5]","[10.3, 10.5]","[173.4, 178.6]","[96.0, 96.4]","[6.0, 6.2]","[0.6, 0.8]","[0.6, 0.8]","[0.4, 0.8]","[92.9, 94.9]",2
18,"[494.7, 507.3]","[37.7, 38.3]","[165.6, 166.4]","[105.8, 106.2]","[15.6, 18.6]","[0.9, 1.1]","[0.8, 1.2]","[0.4, 0.6]","[111.3, 115.7]",2
19,"[502.2, 507.8]","[10.9, 11.3]","[434.6, 435.4]","[117.8, 118.2]","[9.6, 10.0]","[0.2, 0.4]","[4.9, 5.5]","[3.1, 3.5]","[262.5, 273.5]",2
20,"[318.9, 323.1]","[8.6, 9.0]","[143.8, 144.2]","[97.8, 99.0]","[2.0, 2.8]","[0.1, 0.7]","[0.4, 0.8]","[0.3, 0.7]","[85.9, 91.1]",2
21,"[786.1, 801.9]","[55.4, 55.6]","[158.7, 159.3]","[87.2, 88.0]","[3.7, 4.3]","[0.5, 1.1]","[0.5, 1.1]","[2.4, 3.2]","[129.8, 132.2]",2
22,"[1010.2, 1035.8]","[55.0, 55.4]","[538.6, 539.4]","[191.3, 198.7]","[21.9, 22.1]","[0.7, 1.3]","[6.5, 7.3]","[6.9, 8.7]","[216.6, 225.4]",1
23,"[1071.6, 1076.4]","[37.8, 39.2]","[381.2, 398.8]","[164.6, 167.4]","[9.7, 12.7]","[0.9, 1.7]","[2.0, 2.4]","[4.7, 5.1]","[250.0, 260.0]",1
24,"[1017.5, 1022.5]","[5.0, 5.6]","[97.1, 97.7]","[113.7, 114.3]","[4.8, 6.4]","[0.1, 0.5]","[1.0, 2.0]","[0.4, 0.6]","[94.7, 95.1]",1
25,"[679.4, 686.6]","[7.9, 8.1]","[80.7, 83.7]","[133.8, 134.2]","[2.5, 3.3]","[0.2, 0.4]","[1.0, 1.8]","[0.4, 0.6]","[146.1, 147.9]",1
26,"[597.9, 604.1]","[20.2, 20.4]","[145.5, 146.5]","[99.4, 100.0]","[1.3, 1.9]","[0.4, 1.4]","[0.1, 0.3]","[0.2, 0.4]","[21.2, 23.4]",1
27,"[918.1, 923.9]","[13.7, 14.3]","[112.7, 113.3]","[111.7, 112.3]","[8.0, 9.4]","[0.7, 1.3]","[1.6, 1.8]","[0.9, 1.3]","[105.1, 106.9]",1
28,"[1094.5, 1099.5]","[51.1, 51.3]","[222.5, 227.5]","[161.8, 166.2]","[9.6, 9.8]","[1.0, 1.4]","[1.4, 1.6]","[1.8, 2.4]","[134.5, 137.5]",1
29,"[1082.3, 1103.7]","[186.6, 187.4]","[284.6, 297.4]","[100.6, 103.4]","[5.3, 9.5]","[0.9, 1.1]","[4.1, 4.3]","[1.6, 2.4]","[494.6, 501.4]",1
30,"[780.3, 787.7]","[17.4, 19.2]","[152.9, 153.1]","[106.7, 107.3]","[3.8, 5.0]","[0.2, 0.8]","[0.3, 0.5]","[0.3, 0.7]","[78.8, 79.6]",1
31,"[639.5, 652.5]","[21.5, 21.7]","[130.9, 131.1]","[112.8, 113.2]","[6.0, 6.2]","[0.5, 1.1]","[0.7, 1.1]","[0.4, 0.6]","[81.7, 82.9]",1
32,"[837.8, 838.2]","[2.4, 3.0]","[53.9, 54.3]","[158.5, 159.5]","[3.2, 19.4]","[6.1, 6.5]","[0.6, 1.0]","[1.2, 1.4]","[110.9, 111.1]",1
